"subject" "id"
1 10637
2 10638
3 10711
4 10717
5 10767
6 10772
7 10811
8 10814
9 10822
10 10873
11 10891
12 10895
13 10997
14 11162
15 11178
16 11216
17 11228
18 11229
19 11243
20 11250
21 11252
22 11253
23 11255
24 11256
25 11258
26 11262
27 11263
28 11265
29 11274
30 11275
31 11277
32 11278
33 11279
34 11280
35 11281
36 11287
37 11288
38 11298
39 11302
40 11304
41 11305
42 11310
43 11311
44 11313
45 11314
46 11315
47 11316
48 11317
49 11318
50 11319
51 11321
52 11322
53 11323
54 11324
55 11325
56 11326
57 11328
58 11329
59 11331
60 11336
61 11337
62 11338
63 11342
64 11344
65 11345
66 11346
67 11347
68 11350
69 11353
70 11366
