roi_num,x,y,z,MNI_Glasser_HCP_v1.0,Brainnetome_1.0,CA_ML_18_MNI,prop_overlap,retained,nvox_overlap,nvox_parcel,nvox_retained,mean,max,min
12,-13,-73,23,Focus point:  L_Sixth_Visual_Area,Focus point:  vmPOS_left,Focus point:  Left Cuneus,0.7211538461538461,TRUE,150,208,150,6.880768941243489,9.382702827453612,5.17376184463501
17,-39,-21,16,Focus point:  L_Area_OP1/SII,Focus point:  G_left,Focus point:  Left Rolandic Operculum,0.5901639344262295,TRUE,216,366,216,7.488557824382076,9.393806457519531,5.17376184463501
19,-55,-24,20,Focus point:  L_Area_PFcm,Focus point:  A40rv_left,Focus point:  Left SupraMarginal Gyrus,0.5476190476190477,TRUE,161,294,161,7.50238373560935,9.200117111206056,5.17376184463501
22,-7,-12,47,Focus point:  L_Dorsal_Area_24d,Focus point:  A6m_left,Focus point:  Left Middle Cingulate Cortex,0.6728395061728395,TRUE,218,324,218,7.283587742289272,10.270527839660645,5.17376184463501
23,-50,-28,55,Focus point:  L_Area_1,Focus point:  A2_left,Focus point:  Left Postcentral Gyrus,0.9384615384615383,TRUE,305,325,305,8.913250773070288,9.976097106933594,5.17376184463501
24,-40,-24,56,Focus point:  L_Primary_Motor_Cortex,Focus point:  A1/2/3ulhf_left,Focus point:  Left Postcentral Gyrus,0.7846153846153846,TRUE,255,325,255,7.934555222006405,9.772043228149414,5.17376184463501
25,-32,-44,62,Focus point:  L_Area_7PC,Focus point:  A7pc_left,Focus point:  Left Postcentral Gyrus,0.7985347985347986,TRUE,218,273,218,7.879679364895602,9.553902626037598,5.17376184463501
26,-33,-20,64,* Within 1 mm: L_Primary_Motor_Cortex,* Within 1 mm: A4ul_left,Focus point:  Left Precentral Gyrus,0.7111111111111111,TRUE,256,360,256,7.917268835008144,10.042006492614746,5.17376184463501
27,-30,-36,66,Focus point:  L_Area_1,Focus point:  A1/2/3tru_left,Focus point:  Left Postcentral Gyrus,0.5408560311284046,TRUE,139,257,139,7.65842563299824,9.5743408203125,5.17376184463501
28,-20,-14,68,Focus point:  L_Area_6mp,Focus point:  A6cdl_left,Focus point:  Left Precentral Gyrus,0.9106280193236715,TRUE,377,414,377,8.871770217500885,10.681859970092772,5.17376184463501
