sensor	hemi	lobe	dan
0112	l	temporal	no
0113	l	temporal	no
0122	l	frontal	no
0123	l	frontal	no
0132	l	temporal	no
0133	l	temporal	no
0142	l	temporal	no
0143	l	temporal	no
0212	l	temporal	no
0213	l	temporal	no
0222	l	temporal	no
0223	l	temporal	no
0232	l	temporal	no
0233	l	temporal	no
0242	l	temporal	no
0243	l	temporal	no
0312	l	frontal	yes
0313	l	frontal	yes
0322	l	frontal	no
0323	l	frontal	no
0332	l	frontal	no
0333	l	frontal	no
0342	l	frontal	no
0343	l	frontal	no
0412	l	parietal	no
0413	l	parietal	no
0422	l	parietal	no
0423	l	parietal	no
0432	l	parietal	maybe
0433	l	parietal	maybe
0442	l	parietal	yes
0443	l	parietal	yes
0512	l	frontal	no
0513	l	frontal	no
0522	l	frontal	no
0523	l	frontal	no
0532	l	frontal	no
0533	l	frontal	no
0542	l	frontal	yes
0543	l	frontal	yes
0612	l	frontal	yes
0613	l	frontal	yes
0622	l	frontal	no
0623	l	frontal	no
0632	l	parietal	no
0633	l	parietal	no
0642	l	frontal	no
0643	l	frontal	no
0712	l	parietal	maybe
0713	l	parietal	maybe
0722	r	parietal	maybe
0723	r	parietal	maybe
0732	r	parietal	yes
0733	r	parietal	yes
0742	l	parietal	yes
0743	l	parietal	yes
0812	r	frontal	no
0813	r	frontal	no
0822	l	frontal	no
0823	l	frontal	no
0912	r	frontal	no
0913	r	frontal	no
0922	r	frontal	no
0923	r	frontal	no
0932	r	frontal	yes
0933	r	frontal	yes
0942	r	frontal	no
0943	r	frontal	no
1012	r	frontal	yes
1013	r	frontal	yes
1022	r	frontal	yes
1023	r	frontal	yes
1032	r	frontal	no
1033	r	frontal	no
1042	r	parietal	no
1043	r	parietal	no
1112	r	parietal	no
1113	r	parietal	no
1122	r	parietal	no
1123	r	parietal	no
1132	r	parietal	yes
1133	r	parietal	yes
1142	r	parietal	maybe
1143	r	parietal	maybe
1212	r	frontal	yes
1213	r	frontal	yes
1222	r	frontal	no
1223	r	frontal	no
1232	r	frontal	no
1233	r	frontal	no
1242	r	frontal	no
1243	r	frontal	no
1312	r	temporal	no
1313	r	temporal	no
1322	r	temporal	no
1323	r	temporal	no
1332	r	temporal	no
1333	r	temporal	no
1342	r	temporal	no
1343	r	temporal	no
1412	r	frontal	no
1413	r	frontal	no
1422	r	temporal	no
1423	r	temporal	no
1432	r	temporal	no
1433	r	temporal	no
1442	r	temporal	no
1443	r	temporal	no
1512	l	temporal	no
1513	l	temporal	no
1522	l	temporal	yes
1523	l	temporal	yes
1532	l	temporal	yes
1533	l	temporal	yes
1542	l	temporal	yes
1543	l	temporal	yes
1612	l	temporal	maybe
1613	l	temporal	maybe
1622	l	temporal	no
1623	l	temporal	no
1632	l	parietal	maybe
1633	l	parietal	maybe
1642	l	occipital	no
1643	l	occipital	no
1712	l	occipital	no
1713	l	occipital	no
1722	l	occipital	no
1723	l	occipital	no
1732	l	occipital	no
1733	l	occipital	no
1742	l	occipital	no
1743	l	occipital	no
1812	l	parietal	yes
1813	l	parietal	yes
1822	l	parietal	yes
1823	l	parietal	yes
1832	l	parietal	yes
1833	l	parietal	yes
1842	l	parietal	yes
1843	l	parietal	yes
1912	l	occipital	no
1913	l	occipital	no
1922	l	occipital	no
1923	l	occipital	no
1932	l	occipital	no
1933	l	occipital	no
1942	l	occipital	no
1943	l	occipital	no
2012	l	parietal	yes
2013	l	parietal	yes
2022	r	parietal	yes
2023	r	parietal	yes
2032	r	occipital	no
2033	r	occipital	no
2042	l	occipital	no
2043	l	occipital	no
2112	l	occipital	no
2113	l	occipital	no
2122	r	occipital	no
2123	r	occipital	no
2132	r	occipital	no
2133	r	occipital	no
2142	l	occipital	no
2143	l	occipital	no
2212	r	parietal	yes
2213	r	parietal	yes
2222	r	parietal	yes
2223	r	parietal	yes
2232	r	parietal	yes
2233	r	parietal	yes
2242	r	parietal	yes
2243	r	parietal	yes
2312	r	occipital	no
2313	r	occipital	no
2322	r	occipital	no
2323	r	occipital	no
2332	r	occipital	no
2333	r	occipital	no
2342	r	occipital	no
2343	r	occipital	no
2412	r	temporal	no
2413	r	temporal	no
2422	r	temporal	yes
2423	r	temporal	yes
2432	r	occipital	no
2433	r	occipital	no
2442	r	parietal	yes
2443	r	parietal	yes
2512	r	occipital	no
2513	r	occipital	no
2522	r	occipital	no
2523	r	occipital	no
2532	r	occipital	no
2533	r	occipital	no
2542	r	occipital	no
2543	r	occipital	no
2612	r	temporal	maybe
2613	r	temporal	maybe
2622	r	temporal	yes
2623	r	temporal	yes
2632	r	temporal	yes
2633	r	temporal	yes
2642	r	temporal	yes
2643	r	temporal	yes
