id,dataset,model,n_runs,evo_fname,obs_fname,F,LL,AIC,BIC,R2,alpha,gamma,beta,alpha_transformed,gamma_transformed,beta_transformed,alpha_ffx,gamma_ffx,beta_ffx,alpha_transformed_ffx,gamma_transformed_ffx,beta_transformed_ffx
10637_20140312,mmclock_meg,decay_factorize_selective_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1633.11622999408,-1626.10764862118,-1629.10764862118,-1635.44151302329,0.0369375452375352,-0.845485481687682,1.5501049597026,2.56967900927195,0.300380737430763,0.824928890760808,13.0616311054816,-0.723831779305544,0.923152341389633,2.63505172378361,0.326549757739511,0.715683981337378,13.9440336826914
10638_20140516,mmclock_meg,decay_factorize_selective_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1565.96207709193,-1557.89084142293,-1560.89084142293,-1567.22470582504,0.0431599042675945,-1.69428112032233,1.08563718564141,2.2291550123036,0.155213660478789,0.747559285293066,9.29201112620508,-1.56295462928538,0.782445826234435,2.28022171480969,0.173223085682648,0.686207005943595,9.77884828468147
10662_20140415,mmclock_meg,decay_factorize_selective_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1067.14573151441,-1058.51184652691,-1061.51184652691,-1067.84571092902,0.173726443202356,-1.01359508768393,3.10573602521628,1.72161995030409,0.266276875971845,0.957128731367232,5.59358245438697,-0.945949415360308,2.01057271033837,1.75363749747779,0.279700156405024,0.881902683214916,5.7755731456182
10711_20140825,mmclock_meg,decay_factorize_selective_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1810.62813233166,-1803.52435787582,-1806.52435787582,-1812.85822227793,0.00887299853170831,-3.21822887212217,1.49287323854691,2.31590247214744,0.0384854713741526,0.816509138362085,10.134064504065,-3.02400461118114,0.683674094444026,2.44100382166794,0.0463531306680148,0.664558223275222,11.4845634120746
10767_20140828,mmclock_meg,decay_factorize_selective_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1639.00420459153,-1632.42112411189,-1635.42112411189,-1641.754988514,0.0254643916010076,1.93342787102285,2.45868838417712,2.93192050730946,0.873628348147175,0.921194498410467,18.763631607063,1.92033051590943,1.79584810133664,2.93469143264354,0.872175285963878,0.857642775282714,18.815696329659
10772_20140509,mmclock_meg,decay_factorize_selective_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1693.30771384193,-1684.23642312871,-1687.23642312871,-1693.57028753082,0.01478910634818,-2.68502696429804,-2.16940527948779,2.64551932832097,0.0638626834442926,0.102531746088533,14.0907609145077,-2.70142712401569,-1.84993832068314,2.58479942209653,0.0628891972368007,0.135880139029945,13.2606290340323
10811_20140801,mmclock_meg,decay_factorize_selective_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1593.57714243417,-1584.78112562752,-1587.78112562752,-1594.11499002962,0.0527816377773112,0.693468195591703,-1.28454632652325,2.98791561941206,0.666737999523292,0.216777332028787,19.8442763290932,0.558900958741725,-1.10570390817131,2.94835824691647,0.636198205224969,0.248672680117731,19.074612204346
10814_20140807,mmclock_meg,decay_factorize_selective_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1769.56214823037,-1763.33726423799,-1766.33726423799,-1772.6711286401,0.016943660980465,0.284839692183937,2.46664902919368,3.10133276985716,0.570732337416084,0.92177046872529,22.2275557654001,0.349356438502386,1.59266196513484,3.12757596855621,0.586461508236045,0.830990293364894,22.818599445451
10822_20140703,mmclock_meg,decay_factorize_selective_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1535.74263797533,-1528.42405378884,-1531.42405378884,-1537.75791819095,0.0513519160492616,-0.618466335279296,2.73250235561904,2.44777950276824,0.350130339833039,0.938917508553182,11.562643375076,-0.550779890683332,1.76274505597732,2.48912966000032,0.365683487325371,0.853553125835355,12.0507832762233
10873_20141014,mmclock_meg,decay_factorize_selective_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1399.77491402507,-1391.77076504451,-1394.77076504451,-1401.10462944662,0.101801064276257,-0.280746195495107,2.91621902046963,2.28345222029835,0.430270845795449,0.94864240194364,9.81048998957032,-0.189538774403038,1.87702436847668,2.32161402089651,0.452756656339233,0.86726896526305,10.1921113183117
