id,dataset,model,n_runs,evo_fname,obs_fname,F,LL,AIC,BIC,R2,alpha,gamma,beta,alpha_transformed,gamma_transformed,beta_transformed,alpha_ffx,gamma_ffx,beta_ffx,alpha_transformed_ffx,gamma_transformed_ffx,beta_transformed_ffx
10637_20140312,mmclock_meg,decay_factorize_uniform_psnarrow,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1631.48017800367,-1624.60024535107,-1627.60024535107,-1633.93410975317,0.0376819586969023,-0.678827735010197,0.437202997938412,1.7674341556189,0.336522990195197,0.607592359711041,5.85580897430487,-0.70051281667493,0.490671035542759,1.74743882190888,0.331698539581408,0.620264498423215,5.73988297164732
10638_20140516,mmclock_meg,decay_factorize_uniform_psnarrow,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1565.42725819105,-1556.69989302228,-1559.69989302228,-1566.03375742438,0.0411401114014043,-2.38356748816978,-1.01066685128036,1.69614076778581,0.0844343711427489,0.266849367172565,5.45286286881808,-1.65159710424835,-0.128662696694852,1.53130687362525,0.160893213188138,0.467878625281498,4.62421614123935
10662_20140415,mmclock_meg,decay_factorize_uniform_psnarrow,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1078.14489663672,-1069.50605735207,-1072.50605735207,-1078.83992175417,0.169682163338348,-1.15447764082243,1.89600182754049,0.776477376314551,0.239672174278204,0.869438341836112,2.17380127855911,-1.02215192924204,1.24262683193,0.86518647517816,0.264608442809201,0.776020921387682,2.37544900695573
10711_20140825,mmclock_meg,decay_factorize_uniform_psnarrow,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1805.44902044991,-1798.68949723549,-1801.68949723549,-1808.0233616376,0.00945578904279021,-2.9125887061075,0.289679447661403,1.57396291735458,0.0515347552983079,0.571917654601203,4.8257343367447,-2.77462503266218,0.0853839007284489,1.65379931140686,0.0587108937302569,0.521333016219506,5.2268003934422
10767_20140828,mmclock_meg,decay_factorize_uniform_psnarrow,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1668.4884254807,-1662.18433988658,-1665.18433988658,-1671.51820428868,0.0221910394774542,1.50643895876274,1.7828163529193,2.03332250939269,0.818532860984762,0.856044280176429,7.63942630501768,1.40938310896004,1.65979339554199,2.02314056833006,0.803668625489503,0.840210266916568,7.56203677304667
10772_20140509,mmclock_meg,decay_factorize_uniform_psnarrow,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1694.73903011827,-1686.07977852722,-1689.07977852722,-1695.41364292932,0.0142793186554685,-1.43083191131617,-3.38882480909996,2.70132729406786,0.19296909590792,0.0326465483413602,14.8994946172061,-1.64005546448837,-2.79082852356686,2.52198740916475,0.162457515659845,0.0578218020643582,12.453321931966
10811_20140801,mmclock_meg,decay_factorize_uniform_psnarrow,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1577.10299345908,-1569.41371865597,-1572.41371865597,-1578.74758305808,0.0565533108071256,2.90779497360465,-1.57004760313833,2.49974987457858,0.948230427848733,0.17220960563604,12.1794471903209,1.47898011684863,-1.18609265222922,2.34189293063291,0.814418483957933,0.233958490033041,10.4009061341227
10814_20140807,mmclock_meg,decay_factorize_uniform_psnarrow,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1771.73736014871,-1765.6023229905,-1768.6023229905,-1774.93618739261,0.0168020937327132,0.174047312889739,1.53200081952892,2.14418248841906,0.543402319886082,0.822298869403788,8.53506087331069,0.22703855138934,1.20848282263153,2.17109759338062,0.556517074691504,0.770030391910479,8.7679023528618
10822_20140703,mmclock_meg,decay_factorize_uniform_psnarrow,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1553.39722171448,-1546.10202441318,-1549.10202441318,-1555.43588881529,0.0510914806616133,-0.885213323607609,1.41720814365929,1.49059722105162,0.292098616200562,0.804900368278761,4.43974623730927,-0.760373340178858,0.972753088269099,1.57199092145529,0.318565215506006,0.725667906443847,4.81622738533704
10873_20141014,mmclock_meg,decay_factorize_uniform_psnarrow,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1398.5265709439,-1390.56185857858,-1393.56185857858,-1399.89572298068,0.102117387094316,-0.440069791700327,1.81187355758529,1.3005420798646,0.391724339414025,0.859588158223413,3.67128625866991,-0.298289359841066,1.24715384192824,1.37912514375297,0.425975716551174,0.776806788768692,3.97142568067322
10891_20140925,mmclock_meg,decay_factorize_uniform_psnarrow,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1685.99771013958,-1678.8331700918,-1681.8331700918,-1688.16703449391,0.0250569505101811,-1.94069479694634,1.29078048062677,1.4692047129103,0.125571545645842,0.78427926432377,4.34577762554595,-1.77878828789627,0.816598301540601,1.57655535072212,0.144452820482384,0.693513777217312,4.83826096166673
10895_20140709,mmclock_meg,decay_factorize_uniform_psnarrow,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1838.70978012467,-1833.16059006986,-1836.16059006986,-1842.49445447197,0.00289095835488462,0.0675491426884474,-2.17964777197463,3.41155923987581,0.516880867369793,0.101593071914563,30.3124718450993,-1.83065997992027,-0.228350430163207,2.23902008537567,0.138159669555476,0.443159170042417,9.38413113316214
10997_20140221,mmclock_meg,decay_factorize_uniform_psnarrow,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1694.59873424117,-1686.84347079255,-1689.84347079255,-1696.17733519466,0.0215795313399048,1.16281821318157,-2.69719356786052,2.93287763945791,0.76184442166066,0.0631391604456632,18.7815994795383,0.441510455565913,-2.37658127885702,2.79354257786096,0.608618883160321,0.084976011811205,16.3387988650808
11162_20140708,mmclock_meg,decay_factorize_uniform_psnarrow,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1445.98653549385,-1437.79515589343,-1440.79515589343,-1447.12902029554,0.0645179508282118,3.16951703514156,-2.14297877245043,2.47668582647305,0.959670896698497,0.104989155372159,11.901754502958,1.91883311865926,-1.9300518480672,2.39828733155366,0.872008254743786,0.126744841436592,11.004313491824
