id,dataset,model,n_runs,evo_fname,obs_fname,F,LL,AIC,BIC,R2,alpha,gamma,beta,alpha_transformed,gamma_transformed,beta_transformed,alpha_ffx,gamma_ffx,beta_ffx,alpha_transformed_ffx,gamma_transformed_ffx,beta_transformed_ffx
10637_20140312,mmclock_meg,decay,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1634.22244083608,-1626.57900964058,-1629.57900964058,-1635.91287404269,0.0332952237341394,1.11667794729383,-1.48438671559797,2.5677276327798,0.753371989978719,0.184765745951831,13.0361677979232,0.266785329700734,-1.26913876929103,2.29769292198116,0.566303538521632,0.219404716228513,9.95119776165233
10638_20140516,mmclock_meg,decay,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1570.06111136056,-1560.90777416885,-1563.90777416885,-1570.24163857095,0.041012772586785,-0.831909866658459,-2.49262122021128,2.12030778942144,0.303241390421553,0.0763770815332876,8.33370211833782,-0.903516304651156,-1.93606502214091,1.83979551592507,0.288328432033616,0.126080792227734,6.29525085085701
10662_20140415,mmclock_meg,decay,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1077.45504922203,-1068.13187181648,-1071.13187181648,-1077.46573621859,0.16606725648362,-1.31721597787098,-1.03440079975302,0.697555464173996,0.211281855118732,0.262231807338008,2.00883602877936,-1.22995132817382,-1.02858981036909,0.748618270858234,0.226189944552014,0.263357590166041,2.11407691592836
10711_20140825,mmclock_meg,decay,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1803.22918188285,-1795.98547225927,-1798.98547225927,-1805.31933666138,0.00945623274077434,-2.9966630850657,-3.36931150709659,1.48716024286893,0.0475768517160037,0.0332684447968905,4.4245131192976,-2.67186557187923,-3.23426568401985,1.67098511605539,0.064654058509222,0.0378964121188714,5.31740347742
10767_20140828,mmclock_meg,decay,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1666.82379241783,-1660.02106672122,-1663.02106672122,-1669.35493112333,0.0227524388864856,0.84764363379484,1.62832693544144,1.90831758825982,0.700072607393739,0.83594031678144,6.74173687463681,-0.202463604151083,1.66523422946636,1.4890034431229,0.449556294994476,0.840939385399777,4.43267590351471
10772_20140509,mmclock_meg,decay,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1699.1577313837,-1690.05248852121,-1693.05248852121,-1699.38635292332,0.0142445772943562,-1.4831531941022,-4.92425898372182,2.68210076416248,0.184951620297843,0.00721566581928256,14.6157653432721,-1.41665496904301,-4.38156948910453,2.57922739692154,0.195186514572238,0.0123512543514113,13.1869459478634
10811_20140801,mmclock_meg,decay,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1574.55533246887,-1567.16137220581,-1570.16137220581,-1576.49523660792,0.0582446629737515,3.76677969501345,-1.58894476833356,2.55898428647083,0.977396324422008,0.169532412434637,12.9226849013993,1.7894272835437,-1.39559468216123,2.42350447825647,0.856857045455876,0.198516099554482,11.2853393223343
10814_20140807,mmclock_meg,decay,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1775.27115410779,-1768.53441800126,-1771.53441800126,-1777.86828240336,0.0158376422040927,-2.04300411054696,0.518200934418346,0.619728571559493,0.114761187901333,0.62672698847127,1.85842354437751,-1.4936364491935,0.497075793905121,1.07485543365323,0.183376543539468,0.621771886232661,2.92956935278011
10822_20140703,mmclock_meg,decay,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1557.84521989314,-1549.91952387518,-1552.91952387518,-1559.25338827729,0.0472338280265295,-1.64118467005968,-0.778916592682243,0.939873099659345,0.162303928780016,0.314553432102603,2.55965657642693,-1.44710834109231,-0.75201421616136,1.07390240535511,0.190446994104493,0.320382571694397,2.9267787202727
10873_20141014,mmclock_meg,decay,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1392.52881061254,-1383.80954767823,-1386.80954767823,-1393.14341208034,0.104308078492213,-1.20942245507879,-0.237397015396132,0.814987921448873,0.229803256825313,0.440927914728177,2.25914838494563,-1.09816589109342,-0.239210816168202,0.889703332325531,0.250083708885726,0.440480841837564,2.43440733418856
