id,dataset,model,n_runs,evo_fname,obs_fname,F,LL,AIC,BIC,R2,alpha,gamma,beta,alpha_transformed,gamma_transformed,beta_transformed,alpha_ffx,gamma_ffx,beta_ffx,alpha_transformed_ffx,gamma_transformed_ffx,beta_transformed_ffx
10637_20140312,mmclock_meg,decay_separate_selective_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1633.95250409215,-1625.87164970801,-1628.87164970801,-1635.20551411012,0.0370706325958969,-1.08576830706839,-0.974085792768391,2.41733028609548,0.252415971008703,0.274066866551905,11.2158761289733,-1.24815910179268,-0.833233674699013,2.28484447875279,0.22301896978441,0.302961761126349,9.82415823986116
10638_20140516,mmclock_meg,decay_separate_selective_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1566.99841277422,-1557.85375742767,-1560.85375742767,-1567.18762182977,0.0434251258783108,-1.72875838667064,-1.9530972692384,2.18411668244215,0.150746464608884,0.124216025050456,8.88279875484633,-1.68934871071481,-1.69555672729325,2.11018847315489,0.155861510203639,0.155046473410241,8.2497960031906
10662_20140415,mmclock_meg,decay_separate_selective_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1062.2892264216,-1052.60726470099,-1055.60726470099,-1061.9411291031,0.175191269130553,-1.77080013194673,-0.623643464748451,1.22171936984855,0.145442852938546,0.34895325645266,3.3930165716101,-1.75266384788366,-0.602482582673277,1.22149715657332,0.147711523871487,0.353775923582407,3.39226268205005
10711_20140825,mmclock_meg,decay_separate_selective_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1810.57926541003,-1802.80611202336,-1805.80611202336,-1812.13997642547,0.00920743854218686,-3.67362390606023,-3.25162188840986,1.87741663297371,0.0247559011620827,0.0372686507833688,6.53659660334625,-3.36690693716997,-3.07981790122266,2.02266085327196,0.0333458665985078,0.0439474658386814,7.55841002011029
10767_20140828,mmclock_meg,decay_separate_selective_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1639.65844760079,-1632.21991297411,-1635.21991297411,-1641.55377737622,0.0252382616669538,1.30165484984368,1.75016728904772,2.84167426989946,0.786113359821746,0.85197390076398,17.144445950868,0.947550756226294,1.66371234074354,2.77110752878375,0.720622348662108,0.840735711412266,15.9763184475135
10772_20140509,mmclock_meg,decay_separate_selective_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1693.88937677564,-1684.27213264963,-1687.27213264963,-1693.60599705174,0.0148020103272617,-2.66019351154366,-4.98697747934964,2.65010859698956,0.0653635105938877,0.00677998389935654,14.1555758148273,-1.96838179046602,-4.47036902796767,2.85107344783955,0.122562804697084,0.0113136293458744,17.3063493364712
10811_20140801,mmclock_meg,decay_separate_selective_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1593.47450069539,-1584.7641090511,-1587.7641090511,-1594.0979734532,0.0527282702792684,0.718643845314421,-1.80359850786639,2.99412040773276,0.672308312684712,0.141413585208577,19.967788650736,0.597228966617472,-1.654449752387,2.95270334061242,0.645022081879254,0.160508459352072,19.1576735054738
10814_20140807,mmclock_meg,decay_separate_selective_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1765.9296280598,-1759.14390852505,-1762.14390852505,-1768.47777292715,0.0189757144942794,-1.67797995169612,0.973012967933822,1.88475513245229,0.15736314189813,0.725719638692977,6.58474185499768,-1.71605403999043,0.93013269119707,1.84917447235944,0.152380126721358,0.717102204884745,6.35457148229617
10822_20140703,mmclock_meg,decay_separate_selective_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1532.1185179436,-1523.93990510529,-1526.93990510529,-1533.2737695074,0.051770977462301,-1.65466158097932,-0.154214852837196,1.72369192845564,0.160479918456391,0.461522513255834,5.60518425020449,-1.67478790175535,-0.110621276753613,1.6946528638736,0.157786870745882,0.472372848009563,5.44475556576251
10873_20141014,mmclock_meg,decay_separate_selective_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1397.7389981173,-1388.64450619297,-1391.64450619297,-1397.97837059508,0.102815044414818,-0.914797750143368,-1.2484022618791e-05,1.94398290939015,0.286019073315881,0.499996878994345,6.98652231388112,-0.955043842766632,0.0326492912126196,1.91316171988186,0.277871596620467,0.508161597810272,6.77447396278442
10891_20140925,mmclock_meg,decay_separate_selective_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1681.13156518305,-1672.85769251862,-1675.85769251862,-1682.19155692072,0.0247301900168613,-2.1197344400649,-1.63811503718737,2.16525800728597,0.107193482728623,0.162721712999032,8.71685063772082,-2.03861548126512,-1.36261729152923,2.11073303906565,0.115207787728003,0.20381525310308,8.25428978433362
10895_20140709,mmclock_meg,decay_separate_selective_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1842.40215390451,-1837.51377943627,-1840.51377943627,-1846.84764383838,0.00300759704556375,0.744129307008236,0.451496250080817,3.81673961329178,0.67789816123852,0.610994921863859,45.4557630921252,-1.55899094825632,0.960305692057026,2.51076282801631,0.173791487058895,0.72318300559231,12.3143201869698
10997_20140221,mmclock_meg,decay_separate_selective_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1702.05317528196,-1693.81627650808,-1696.81627650808,-1703.15014091018,0.0211640842095081,-0.220277773357472,-2.67664444536087,3.15360789498379,0.445152156130282,0.0643656618859383,23.4204107157904,-0.183054448457438,-2.53666497847112,3.13501488486242,0.454363751929797,0.0733274677522841,22.9889780272632
11162_20140708,mmclock_meg,decay_separate_selective_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1437.71047598642,-1428.57336216843,-1431.57336216843,-1437.90722657054,0.0667544546229618,0.448769210162368,-2.19043593925041,2.73268726262545,0.610346562820409,0.100612638667783,15.3741459260654,0.418444986357187,-2.12930338528868,2.71740688859927,0.603111088945342,0.106281141798766,15.141008972151
11178_20140515,mmclock_meg,decay_separate_selective_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1370.89834237622,-1361.91620672788,-1364.91620672788,-1371.25007112998,0.105165554909765,0.154556573154757,-0.580869172912681,2.45376007088268,0.538562409783381,0.358732621520955,11.6320017458646,0.0773053094534934,-0.498087131516915,2.41679756917473,0.519316708422133,0.377990305182211,11.2099028331574
11216_20141008,mmclock_meg,decay_separate_selective_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1739.53393863779,-1731.51244909193,-1734.51244909193,-1740.84631349404,0.0198468205177034,-3.05384976181574,-1.59255971359013,1.20183182371668,0.0450515589688941,0.169024067882864,3.32620436551657,-2.68928033097579,-1.52483132915914,1.48353670899777,0.063608870364402,0.178751183061296,4.40850975801757
11228_20140911,mmclock_meg,decay_separate_selective_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1237.37009664417,-1227.87418678999,-1230.87418678999,-1237.2080511921,0.122413728081491,-0.804347091351106,-0.895928474076892,1.94313737491927,0.309096402641893,0.289887915293536,6.9806174651615,-0.823525599952333,-0.852799824063125,1.92164996658705,0.30501578579657,0.298845860546196,6.83222211261897
11229_20140212,mmclock_meg,decay_separate_selective_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1742.43199522285,-1735.28246297812,-1738.28246297812,-1744.61632738023,0.0207859164343661,0.161888474214395,0.514340009033877,2.95491261087904,0.540383958898406,0.625823321516138,19.200044771482,-0.225593743371079,0.660254516791419,2.77454777846447,0.443839541394496,0.659317559800374,16.0313756228649
