id,dataset,model,n_runs,evo_fname,obs_fname,F,LL,AIC,BIC,R2,alpha,gamma,beta,alpha_transformed,gamma_transformed,beta_transformed,alpha_ffx,gamma_ffx,beta_ffx,alpha_transformed_ffx,gamma_transformed_ffx,beta_transformed_ffx
10637_20140312,mmclock_meg,decay_separate_uniform_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1633.34149233506,-1626.09291608192,-1629.09291608192,-1635.42678048402,0.0369444443650481,-2.94539120417705,-1.1097762721414,0.778935798319923,0.0499547886885158,0.247912600701698,2.17915197389631,-2.21128177074625,-1.13926900048446,1.41431092236424,0.0987419471861468,0.242454598666736,4.11365086429869
10638_20140516,mmclock_meg,decay_separate_uniform_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1565.9896875625,-1557.89076002954,-1560.89076002954,-1567.22462443164,0.0431232948958292,-3.1884508220142,-2.04923317935906,0.873440408676877,0.0396026594267502,0.114129887172937,2.39513694477959,-2.67688924818159,-1.91722154875163,1.22421464737869,0.0643509207654983,0.128171720204555,3.40149366156817
10662_20140415,mmclock_meg,decay_separate_uniform_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1067.97119994736,-1058.75224417685,-1061.75224417685,-1068.08610857896,0.17364007031576,-4.14488443237362,-1.08315229506685,-1.11625229415243,0.0155981108141589,0.252909937746176,0.327504889531065,-3.02328300724102,-1.12631095657971,-0.0600170115138224,0.046385039266338,0.244842543173705,0.941748512880137
10711_20140825,mmclock_meg,decay_separate_uniform_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1810.449755738,-1803.59529384349,-1806.59529384349,-1812.9291582456,0.00883914467652847,-4.77017007602811,-3.44718126103125,0.798993518502716,0.00840765003011707,0.0308530314495114,2.22330208959045,-3.46278447655185,-3.38174961714265,1.92629116472455,0.0303898775763609,0.0328707285610065,6.86400550862912
10767_20140828,mmclock_meg,decay_separate_uniform_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1639.59824885747,-1632.46944807273,-1635.46944807273,-1641.80331247484,0.0255944458181068,-2.18980688948741,1.39664095645004,0.764372252529514,0.100669575517146,0.80165031797867,2.14764577220762,-1.47041182148402,1.18334331304403,1.37331132422757,0.186880027201304,0.765548407770027,3.94840351670711
10772_20140509,mmclock_meg,decay_separate_uniform_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1693.3472174258,-1684.25582616867,-1687.25582616867,-1693.58969057077,0.0147995087379181,-2.81594052307382,-4.99612179631171,2.52363061596297,0.0564688339028093,0.00671868283000542,12.473802137223,-2.63803595187812,-4.47954383908818,2.47803848584163,0.0667302471942244,0.0112114620872545,11.917864415845
10811_20140801,mmclock_meg,decay_separate_uniform_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1594.01321868018,-1584.76853084288,-1587.76853084288,-1594.10239524499,0.0527695148011293,0.112977693407664,-1.79089111874881,2.75197104705478,0.528214419093022,0.142963504465983,15.6734946536861,-0.0590715331683674,-1.62074559002366,2.66061951366938,0.485236409520939,0.165102069880221,14.3051485892
10814_20140807,mmclock_meg,decay_separate_uniform_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1769.91524712091,-1763.27158032902,-1766.27158032902,-1772.60544473113,0.0169610814330131,-3.22087852050421,0.112025821317924,0.404320878236557,0.0383875426943941,0.527977202458741,1.49828463676467,-2.1858939923125,0.0963734655206684,1.34700218928242,0.101024384442778,0.524074735729751,3.84587901488045
10822_20140703,mmclock_meg,decay_separate_uniform_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1536.19932190612,-1528.48303361555,-1531.48303361555,-1537.81689801765,0.0513565769098465,-3.72322460470847,-0.719525407941592,-0.248491835415503,0.0235862016587027,0.327497499898959,0.779976228990963,-2.62890018080809,-0.745191196874664,0.767700014762231,0.06730145555903,0.321870016540937,2.15480453141554
10873_20141014,mmclock_meg,decay_separate_uniform_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1400.39279639897,-1391.89091699375,-1394.89091699375,-1401.22478139586,0.101738546250246,-3.59883269609986,-0.37914240280644,-0.49881430794438,0.026627231306435,0.406333755721572,0.607250244816212,-2.56441482464065,-0.431905671702739,0.466780352251736,0.0714640332590259,0.39367136669357,1.59485105949825
10891_20140925,mmclock_meg,decay_separate_uniform_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1681.49301782787,-1674.21855856465,-1677.21855856465,-1683.55242296676,0.0252155059427708,-4.20114943352181,-1.93009838530242,0.205062813666157,0.0147573101431951,0.126739690757568,1.22760217273449,-3.19716532056507,-1.83715188174248,1.0735391859918,0.0392725362590855,0.137388482829724,2.9257158506085
10895_20140709,mmclock_meg,decay_separate_uniform_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1842.20946263708,-1837.3984214692,-1840.3984214692,-1846.7322858713,0.00301214348027667,-2.11474449189829,0.54908595237519,1.95846807567156,0.107671972825566,0.633923498986518,7.08845975938028,-1.72235056645351,0.547601061887151,2.25177996750833,0.151568643549084,0.633578840147049,9.50463873671877
10997_20140221,mmclock_meg,decay_separate_uniform_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1702.48186792159,-1693.8209029842,-1696.8209029842,-1703.1547673863,0.0211470941161314,-0.517216499749096,-2.67926651188292,2.98745838838615,0.373503339157232,0.0642079341556919,19.8352049842771,-0.468895155253303,-2.51492673989659,2.96030817975837,0.384877778857231,0.0748183625264796,19.3039199162797
11162_20140708,mmclock_meg,decay_separate_uniform_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1438.15966942256,-1428.57566578155,-1431.57566578155,-1437.90953018366,0.0667572149300787,0.0331126784289117,-2.18673306802494,2.55017582645562,0.508277413307261,0.100948206386923,12.809355808305,-0.00474218988311922,-2.11826260273768,2.52328315538699,0.498814454750967,0.107334423494286,12.4694687356344
11178_20140515,mmclock_meg,decay_separate_uniform_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1370.52538261721,-1361.91571766717,-1364.91571766717,-1371.24958206927,0.105163140621921,-1.5143216327139,-0.579821749790798,1.35862742940132,0.180299210310129,0.358973610067241,3.8908491698606,-1.43335014091212,-0.576659554608526,1.4090861942034,0.192577230103871,0.359701591764235,4.09221420590493
11216_20141008,mmclock_meg,decay_separate_uniform_psequate,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1741.85710348703,-1734.57856276278,-1737.57856276278,-1743.91242716489,0.0181386239975974,-4.01884586072177,-1.85520397627041,0.227973554852495,0.0176563472847167,0.135263047579846,1.25605210850985,-2.86201054675544,-1.7989136118146,1.2674766113791,0.0540637870877362,0.141983361679772,3.55187847483602
