id,dataset,model,n_runs,evo_fname,obs_fname,F,LL,AIC,BIC,R2,alpha,gamma,beta,alpha_transformed,gamma_transformed,beta_transformed,alpha_ffx,gamma_ffx,beta_ffx,alpha_transformed_ffx,gamma_transformed_ffx,beta_transformed_ffx
10637_20140312,mmclock_meg,decay_separate_uniform_psnarrow,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1631.84519736442,-1624.36958955832,-1627.36958955832,-1633.70345396043,0.0378588267677284,-1.26290867900351,-1.26822171862561,1.35934151600115,0.220473585727824,0.219561816504767,3.89362856536119,-1.30937085464027,-1.2137765425351,1.29894238130071,0.212592141950566,0.229033517473127,3.66541800228638
10638_20140516,mmclock_meg,decay_separate_uniform_psnarrow,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1565.98739446182,-1556.69297214572,-1559.69297214572,-1566.02683654783,0.0411908337635828,-2.40974861625501,-3.76243332732523,1.67475551506001,0.0824323301050484,0.0226998982951339,5.33749005360611,-1.71918257498782,-2.16874719163937,1.29962155529044,0.151976483123696,0.102592318507471,3.66790830443348
10662_20140415,mmclock_meg,decay_separate_uniform_psnarrow,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1075.04024782497,-1065.70456931081,-1068.70456931081,-1075.03843371291,0.170852418809524,-2.78497547677563,-1.15754295219514,-0.604710916364625,0.0581414934074242,0.239114030183085,0.546232310639889,-2.039062357179,-1.18967005673311,0.0523507717471826,0.115162243284881,0.233317951055687,1.05374530177469
10711_20140825,mmclock_meg,decay_separate_uniform_psnarrow,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1805.34736145532,-1798.24873859112,-1801.24873859112,-1807.58260299323,0.00961591710225418,-3.44374617616853,-3.4149846374945,1.06453787277215,0.0309559100345424,0.0318304256729409,2.89949873708766,-2.91037076006294,-3.28512603940534,1.44750599691483,0.0516432740111179,0.0360849934093255,4.25249554179596
10767_20140828,mmclock_meg,decay_separate_uniform_psnarrow,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1667.56328962797,-1660.57215416922,-1663.57215416922,-1669.90601857133,0.0219910752792141,-1.14689579866599,1.29111946237975,0.829255665439683,0.241056534770817,0.784336609526653,2.29161237899859,-0.929394814893925,1.20113397074543,0.989089633229567,0.283047509572826,0.768726449161834,2.6887855767799
10772_20140509,mmclock_meg,decay_separate_uniform_psnarrow,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1694.88478419865,-1686.05071967105,-1689.05071967105,-1695.38458407315,0.014246594788454,-1.39164986942712,-5.09029905633835,2.71907527630792,0.199144495214499,0.00611851191571149,15.1662911297727,-1.35125927143353,-4.50794733449368,2.60963949506963,0.20566457258573,0.0109009198357903,13.5941492105365
10811_20140801,mmclock_meg,decay_separate_uniform_psnarrow,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1576.87727313955,-1569.21680682652,-1572.21680682652,-1578.55067122863,0.0565176574118382,3.24390856600181,-1.659469793763,2.51575367186619,0.962453607597292,0.159833183662362,12.3759326573602,1.59470530846738,-1.45686875478133,2.35899170973252,0.831277077529479,0.188946708244788,10.5802780809935
10814_20140807,mmclock_meg,decay_separate_uniform_psnarrow,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1769.89649804874,-1763.04349886418,-1766.04349886418,-1772.37736326629,0.0177325038324718,-2.14579119324819,0.0561426133128083,0.498555066057996,0.104725175661501,0.514031967799752,1.64634069767476,-1.56295392126604,0.0678997838270369,0.983295517770983,0.17322318708297,0.516968427215275,2.67325148931171
10822_20140703,mmclock_meg,decay_separate_uniform_psnarrow,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1551.853685158,-1543.95887077231,-1546.95887077231,-1553.29273517442,0.051503623133724,-2.42535148763611,-0.967993188323503,0.20754515573987,0.0812598348531903,0.275280683001567,1.23065328664512,-1.81341657350768,-0.967095687259511,0.725346381412946,0.140225708689708,0.2754597716741,2.06544640831985
10873_20141014,mmclock_meg,decay_separate_uniform_psnarrow,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1396.22367022994,-1387.62908803999,-1390.62908803999,-1396.96295244209,0.102892871555489,-2.20810193245523,-0.471647186453725,-0.0468359371763277,0.0990252885626467,0.384226450837618,0.954243940703951,-1.58910421907209,-0.503955212212827,0.474202292412707,0.169509964360944,0.376611630438903,1.60673198384374
10891_20140925,mmclock_meg,decay_separate_uniform_psnarrow,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1684.87072352598,-1677.26416717327,-1680.26416717327,-1686.59803157538,0.0250593987042272,-3.02249387762395,-2.06135436730298,0.462929317250127,0.0464199577031545,0.112910103595035,1.5887210432752,-2.37428124249361,-1.93932312350456,0.962680077869188,0.0851550221428924,0.125722237331601,2.61870541139703
10895_20140709,mmclock_meg,decay_separate_uniform_psnarrow,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1845.30993449748,-1840.65036385704,-1843.65036385704,-1849.98422825914,0.0027359182297696,-0.153328331355444,-0.136419743041172,2.60295642810377,0.461742838617275,0.465947858046177,13.5036015062181,-1.31411127276564,0.287725663209125,1.75313518050823,0.211799692633502,0.571439246682844,5.77267270574929
10997_20140221,mmclock_meg,decay_separate_uniform_psnarrow,8,h_sceptic_fixed_decay_fmri,g_sceptic,-1694.44622060867,-1686.79299750526,-1689.79299750526,-1696.12686190737,0.0216105453769415,1.2990703878565,-2.99673126224208,2.94968816808093,0.785678489269498,0.0475737624787934,19.0999968108417,0.805971275385351,-2.85444485393197,2.84685761347155,0.691250343716418,0.0544520113280521,17.2335422133748
