id,dataset,model,n_runs,evo_fname,obs_fname,F,LL,AIC,BIC,R2,alpha,beta,alpha_transformed,beta_transformed
10637_20140312,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1775.27843401652,-1770.05853430559,-1772.05853430559,-1776.28111057366,0.0123319483075832,3.11936369248972,3.42133623705399,0.9576844493396,30.6102903095756
10638_20140516,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1588.23311011852,-1581.20711483045,-1583.20711483045,-1587.42969109852,0.0341631059298053,-4.43908620716511,1.4603957820402,0.0116689504307702,4.30766408708697
10662_20140415,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1568.0941967812,-1562.37021959675,-1564.37021959675,-1568.59279586482,0.0388263347469969,4.46101736194095,3.12035441510245,0.98858128689716,22.6544072846113
10711_20140825,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1834.18048923077,-1827.924614319,-1829.924614319,-1834.14719058707,0.00354517078053029,-1.97477794509385,3.32875471466976,0.12187661369094,27.903572149663
10767_20140828,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1806.29297680931,-1800.17421510897,-1802.17421510897,-1806.39679137705,0.00413327722841283,-1.13364289544685,3.15526870511706,0.24348944417774,23.4593398892672
10772_20140509,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1703.66663844583,-1696.7076272383,-1698.7076272383,-1702.93020350637,0.0121727344922713,-1.62833117531127,2.88676113208795,0.16405910174624,17.9351259239369
10811_20140801,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1697.5492174693,-1691.81279509935,-1693.81279509935,-1698.03537136742,0.0264075917811851,4.9112077996051,3.06170149842996,0.992690236874808,21.3638768572427
10814_20140807,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1850.52843258915,-1846.03501737232,-1848.03501737232,-1852.25759364039,0.00181318236989592,2.8768364611587,4.55502519830119,0.946689429805259,95.1091517944357
10822_20140703,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1705.68512067786,-1700.27355185106,-1702.27355185106,-1706.49612811913,0.0204752304975059,3.68190730674349,3.18308737943579,0.975443300044048,24.1211097282803
10873_20141014,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1733.93267382999,-1728.49429840252,-1730.49429840252,-1734.71687467059,0.017099212188737,4.06656301199029,3.43042785607648,0.983152517298735,30.8898563354538
