id,dataset,model,n_runs,evo_fname,obs_fname,F,LL,AIC,BIC,R2,alpha,beta,alpha_transformed,beta_transformed
10637_20140312,mmclock_meg,fixed_fixedparams_meg,8,h_sceptic_fixed_fmri,g_sceptic,-1820.48026705377,-1820.48026705377,-1820.48026705377,-1820.48026705377,0.00534171017941132,1.922545,2.922986,0.872421964802009,18.5967344853128
10638_20140516,mmclock_meg,fixed_fixedparams_meg,8,h_sceptic_fixed_fmri,g_sceptic,-1807.29645659992,-1807.29645659992,-1807.29645659992,-1807.29645659992,0.00643159482821909,1.922545,2.922986,0.872421964802009,18.5967344853128
10662_20140415,mmclock_meg,fixed_fixedparams_meg,8,h_sceptic_fixed_fmri,g_sceptic,-1572.43041115519,-1572.43041115519,-1572.43041115519,-1572.43041115519,0.0356072831512978,1.922545,2.922986,0.872421964802009,18.5967344853128
10711_20140825,mmclock_meg,fixed_fixedparams_meg,8,h_sceptic_fixed_fmri,g_sceptic,-2155.77196404123,-2155.77196404123,-2155.77196404123,-2155.77196404123,0,1.922545,2.922986,0.872421964802009,18.5967344853128
10767_20140828,mmclock_meg,fixed_fixedparams_meg,8,h_sceptic_fixed_fmri,g_sceptic,-1849.22946599868,-1849.22946599868,-1849.22946599868,-1849.22946599868,0,1.922545,2.922986,0.872421964802009,18.5967344853128
10772_20140509,mmclock_meg,fixed_fixedparams_meg,8,h_sceptic_fixed_fmri,g_sceptic,-1773.9434887167,-1773.9434887167,-1773.9434887167,-1773.9434887167,0,1.922545,2.922986,0.872421964802009,18.5967344853128
10811_20140801,mmclock_meg,fixed_fixedparams_meg,8,h_sceptic_fixed_fmri,g_sceptic,-1695.15158013589,-1695.15158013589,-1695.15158013589,-1695.15158013589,0.0250329192919799,1.922545,2.922986,0.872421964802009,18.5967344853128
10814_20140807,mmclock_meg,fixed_fixedparams_meg,8,h_sceptic_fixed_fmri,g_sceptic,-2022.02297288452,-2022.02297288452,-2022.02297288452,-2022.02297288452,0,1.922545,2.922986,0.872421964802009,18.5967344853128
10822_20140703,mmclock_meg,fixed_fixedparams_meg,8,h_sceptic_fixed_fmri,g_sceptic,-1714.22102132221,-1714.22102132221,-1714.22102132221,-1714.22102132221,0.0200582971453996,1.922545,2.922986,0.872421964802009,18.5967344853128
10873_20141014,mmclock_meg,fixed_fixedparams_meg,8,h_sceptic_fixed_fmri,g_sceptic,-1780.12237534341,-1780.12237534341,-1780.12237534341,-1780.12237534341,0.0132993108229849,1.922545,2.922986,0.872421964802009,18.5967344853128
10891_20140925,mmclock_meg,fixed_fixedparams_meg,8,h_sceptic_fixed_fmri,g_sceptic,-2057.19196723939,-2057.19196723939,-2057.19196723939,-2057.19196723939,0,1.922545,2.922986,0.872421964802009,18.5967344853128
10895_20140709,mmclock_meg,fixed_fixedparams_meg,8,h_sceptic_fixed_fmri,g_sceptic,-1988.25779462368,-1988.25779462368,-1988.25779462368,-1988.25779462368,0,1.922545,2.922986,0.872421964802009,18.5967344853128
10997_20140221,mmclock_meg,fixed_fixedparams_meg,8,h_sceptic_fixed_fmri,g_sceptic,-1824.6585982799,-1824.6585982799,-1824.6585982799,-1824.6585982799,0.00385587068835769,1.922545,2.922986,0.872421964802009,18.5967344853128
11162_20140708,mmclock_meg,fixed_fixedparams_meg,8,h_sceptic_fixed_fmri,g_sceptic,-1583.07699528203,-1583.07699528203,-1583.07699528203,-1583.07699528203,0.0347798916959923,1.922545,2.922986,0.872421964802009,18.5967344853128
11178_20140515,mmclock_meg,fixed_fixedparams_meg,8,h_sceptic_fixed_fmri,g_sceptic,-1623.18999755069,-1623.18999755069,-1623.18999755069,-1623.18999755069,0.034237344416535,1.922545,2.922986,0.872421964802009,18.5967344853128
11216_20141008,mmclock_meg,fixed_fixedparams_meg,8,h_sceptic_fixed_fmri,g_sceptic,-1928.56887590362,-1928.56887590362,-1928.56887590362,-1928.56887590362,0,1.922545,2.922986,0.872421964802009,18.5967344853128
11228_20140911,mmclock_meg,fixed_fixedparams_meg,8,h_sceptic_fixed_fmri,g_sceptic,-1486.44681006157,-1486.44681006157,-1486.44681006157,-1486.44681006157,0.0621271897345377,1.922545,2.922986,0.872421964802009,18.5967344853128
11229_20140212,mmclock_meg,fixed_fixedparams_meg,8,h_sceptic_fixed_fmri,g_sceptic,-2032.7705204044,-2032.7705204044,-2032.7705204044,-2032.7705204044,0,1.922545,2.922986,0.872421964802009,18.5967344853128
11243_20140213,mmclock_meg,fixed_fixedparams_meg,8,h_sceptic_fixed_fmri,g_sceptic,-1761.44427965422,-1761.44427965422,-1761.44427965422,-1761.44427965422,0.0101146297380941,1.922545,2.922986,0.872421964802009,18.5967344853128
11246_20140218,mmclock_meg,fixed_fixedparams_meg,8,h_sceptic_fixed_fmri,g_sceptic,-1793.28078451712,-1793.28078451712,-1793.28078451712,-1793.28078451712,0.00673151656526738,1.922545,2.922986,0.872421964802009,18.5967344853128
11250_20140422,mmclock_meg,fixed_fixedparams_meg,8,h_sceptic_fixed_fmri,g_sceptic,-1454.57338840268,-1454.57338840268,-1454.57338840268,-1454.57338840268,0.0659499974054621,1.922545,2.922986,0.872421964802009,18.5967344853128
11253_20140219,mmclock_meg,fixed_fixedparams_meg,8,h_sceptic_fixed_fmri,g_sceptic,-1541.73667237021,-1541.73667237021,-1541.73667237021,-1541.73667237021,0.0473978017361729,1.922545,2.922986,0.872421964802009,18.5967344853128
11255_20140318,mmclock_meg,fixed_fixedparams_meg,8,h_sceptic_fixed_fmri,g_sceptic,-1785.92503007736,-1785.92503007736,-1785.92503007736,-1785.92503007736,0.00602765897002011,1.922545,2.922986,0.872421964802009,18.5967344853128
11258_20140303,mmclock_meg,fixed_fixedparams_meg,8,h_sceptic_fixed_fmri,g_sceptic,-1479.49880898901,-1479.49880898901,-1479.49880898901,-1479.49880898901,0.0703413516911324,1.922545,2.922986,0.872421964802009,18.5967344853128
11262_20140312,mmclock_meg,fixed_fixedparams_meg,8,h_sceptic_fixed_fmri,g_sceptic,-1634.99837049852,-1634.99837049852,-1634.99837049852,-1634.99837049852,0.0344552297320091,1.922545,2.922986,0.872421964802009,18.5967344853128
11263_20140324,mmclock_meg,fixed_fixedparams_meg,8,h_sceptic_fixed_fmri,g_sceptic,-1652.10171836023,-1652.10171836023,-1652.10171836023,-1652.10171836023,0.00856175782429058,1.922545,2.922986,0.872421964802009,18.5967344853128
11265_20140923,mmclock_meg,fixed_fixedparams_meg,8,h_sceptic_fixed_fmri,g_sceptic,-1602.90430552002,-1602.90430552002,-1602.90430552002,-1602.90430552002,0.0370068478984469,1.922545,2.922986,0.872421964802009,18.5967344853128
11274_20140528,mmclock_meg,fixed_fixedparams_meg,8,h_sceptic_fixed_fmri,g_sceptic,-1644.91895943088,-1644.91895943088,-1644.91895943088,-1644.91895943088,0.0293707881170922,1.922545,2.922986,0.872421964802009,18.5967344853128
11275_20140620,mmclock_meg,fixed_fixedparams_meg,8,h_sceptic_fixed_fmri,g_sceptic,-1851.37853937557,-1851.37853937557,-1851.37853937557,-1851.37853937557,0.0062994136872363,1.922545,2.922986,0.872421964802009,18.5967344853128
